id:ID(Drug),label,iri,chebi_id,atc_code,drug_type,drug_class,primary_indication,secondary_indications,mechanism_summary,status_overall,approved_regions,source,raw_source_ids
circadin,Circadin,https://www.alzforum.org/therapeutics/circadin,,,Small Molecule,Other,Alzheimer's Disease,Insomnia,"Circadin is an extended-release formulation of melatonin, a hormone that is released by the pineal gland into the CSF at night to regulate circadian rhythms and induce sleepiness. Circadin is being marketed for insomnia in the European Union, Israel, Australia, and countries in Asia and elsewhere.",ongoing,,AlzForum.Therapeutics,circadin
citalopram,Citalopram,https://www.alzforum.org/therapeutics/citalopram,,,Small Molecule,Other Neurotransmitters,"Alzheimer's Disease, Preclinical Alzheimer's Disease","Depression, generalized anxiety disorder",Citalopram is a selective serotonin reuptake inhibitor used to treat depression and anxiety. It is a chiral molecule that exists as two enantiomers.,ongoing,,AlzForum.Therapeutics,citalopram
clioquinol,Clioquinol,https://www.alzforum.org/therapeutics/clioquinol,,,Small Molecule,"Amyloid-Related, Metals",Alzheimer's Disease,,Clioquinol is an old drug that was used to treat fungal and protozoal infections but was found to be neurotoxic when used chronically at high doses. A one-time epidemic of subacute-myelo-optico-neuropathy in Japan prompted its removal or restrictions on its use in many countries.,discontinued,,AlzForum.Therapeutics,clioquinol
cnm-au8,CNM-Au8,https://www.alzforum.org/therapeutics/cnm-au8,,,Other,"Metals, Other","Parkinson's Disease, Amyotrophic Lateral Sclerosis",,"CNM-Au8 is a preparation of pure elemental gold nanoparticles in a drinkable bicarbonate solution. The faceted crystals have a median diameter of 13 nm, slightly smaller than a ribosome.",ongoing,,AlzForum.Therapeutics,cnm-au8
cocoa-flavanols,Cocoa Flavanols,https://www.alzforum.org/therapeutics/cocoa-flavanols,,,"Supplement, Dietary","Inflammation, Other",Mild Cognitive Impairment,,"Flavanols are naturally occurring bioactive plant products in tea, wine, and chocolate. The predominant flavanols in cocoa include catechin, epicatechin, and procyanidins, which are thought to give these foods heart and other health benefits.",unknown,,AlzForum.Therapeutics,cocoa-flavanols
cognishunt%E2%84%A2,COGNIShunt™,https://www.alzforum.org/therapeutics/cognishunt%E2%84%A2,,,Procedural Intervention,Other,Alzheimer's Disease,,"The accumulation of amyloid plaques, neurofibrillary tangles, and neurodegeneration is thought to be due at least in part to the failure to clear circulating soluble Aβ and tau. CSF shunts have been used for decades to treat hydrocephalus, and were proposed as a possible way to clear toxic species from the body, especially because aging is associated with reduced CSF turnover ( May et al., 1990 ).",unknown,,AlzForum.Therapeutics,cognishunt%E2%84%A2
continuous-positive-airway-pressure,Continuous Positive Airway Pressure,https://www.alzforum.org/therapeutics/continuous-positive-airway-pressure,,,Procedural Intervention,Unknown,Alzheimer's Disease,Sleep Apnea in US,Continuous Positive Airway Pressure (CPAP) is an approved treatment using a machine and nasal mask to deliver continuous air flow and help keep the airways open during sleep. Sleep-disordered breathing and obstructive sleep apnea cause sleep fragmentation and nighttime hypoxia.,ongoing,,AlzForum.Therapeutics,continuous-positive-airway-pressure
coya-302,COYA 302,https://www.alzforum.org/therapeutics/coya-302,,,"Combination, Other",Inflammation,"Amyotrophic Lateral Sclerosis, Frontotemporal Dementia",,"This immunomodulatory therapy combines low-dose interleukin-2 with an antibody to the cytotoxic T lymphocyte antigen 4 (CTLA4-Ig). Marketed as Abatacept, CTLA4-Ig is used to modulate inflammation in autoimmune diseases.",ongoing,,AlzForum.Therapeutics,coya-302
cpg-1018r,CpG 1018®,https://www.alzforum.org/therapeutics/cpg-1018r,,,"Immunotherapy (active), DNA/RNA-based","Amyloid-Related, Inflammation",Alzheimer's Disease,,"CpG 1018 is a proprietary immune adjuvant made up of short, unmethylated cytosine-phosphate-guanine oligodeoxynucleotides (CpG ODNs). Its components mimic bacterial DNA to activate innate immunity through binding to the toll-like receptor 9 (TLR9).",ongoing,,AlzForum.Therapeutics,cpg-1018r
crenezumab,Crenezumab,https://www.alzforum.org/therapeutics/crenezumab,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,"Crenezumab represents a passive immunotherapy approach in which patients are treated with monoclonal antibodies that specifically recognize Aβ peptides. Crenezumab recognizes multiple forms of aggregated Aβ, including oligomeric and fibrillar species with high affinity, and monomeric Aβ with low affinity.",discontinued,,AlzForum.Therapeutics,crenezumab
cs6253,CS6253,https://www.alzforum.org/therapeutics/cs6253,,,Small Molecule,"Amyloid-Related, Cholesterol",Alzheimer's Disease,,"This agonist peptide increases the activity of the adenosine triphosphate-binding cassette transporter A1 (ABCA1), which regulates cholesterol efflux from cells. ABCA1 transfers lipids to ApoE, and thus facilitates clearance of amyloid peptides from the brain.",ongoing,,AlzForum.Therapeutics,cs6253
cst-103,CST-103,https://www.alzforum.org/therapeutics/cst-103,,,Small Molecule,Other Neurotransmitters,"Mild Cognitive Impairment, Parkinson's Disease, Amyotrophic Lateral Sclerosis","Asthma, in countries outside the U.S.","CST-103 is CuraSen’s name for clenbuterol, a β2-adrenergic receptor agonist. Clenbuterol is related to common asthma drugs such as albuterol but is not approved for use in the U.S.",ongoing,,AlzForum.Therapeutics,cst-103
cst-2032,CST-2032,https://www.alzforum.org/therapeutics/cst-2032,,,Small Molecule,Other Neurotransmitters,"Mild Cognitive Impairment, Parkinson's Disease",,"CST-2032 is a proprietary, brain-penetrant β2-adrenergic receptor agonist. Like clenbuterol , CST-2032 activates norepinephrine receptors in cortical and limbic brain regions to compensate for the loss of this neurotransmitter in neurodegenerative diseases.",ongoing,,AlzForum.Therapeutics,cst-2032
curcumin,Curcumin,https://www.alzforum.org/therapeutics/curcumin,,,"Supplement, Dietary","Other, Unknown",Alzheimer's Disease,,"Curcumin, the natural polyphenol that provides the yellow hue to turmeric, has been used in Indian Ayurvedic as well as traditional Chinese and Southeast Asian medicines for centuries to treat a wide variety of ailments. Animal models have demonstrated diverse beneficial effects of the compound, including anti-inflammatory and antioxidant properties as well as inhibiting Aβ aggregation ( Yang et al., 2005 ).",ongoing,,AlzForum.Therapeutics,curcumin
cx516,CX516,https://www.alzforum.org/therapeutics/cx516,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,,"CX516 is a so-called ampakine, a molecule that potentiates currents mediated by AMPA-type glutamate receptors. As a class, these drugs enhance AMPA-receptor activity by slowing deactivation and attenuating desensitization of AMPA receptor currents, thus increasing synaptic responses and enhancing long-term potentiation (reviewed in Arai and Kessler, 2007 ).",discontinued,,AlzForum.Therapeutics,cx516
cy6463,CY6463,https://www.alzforum.org/therapeutics/cy6463,,,Small Molecule,Inflammation,Alzheimer's Disease,,"CY6463 is a brain-penetrant, positive allosteric modulator of the soluble guanylate cyclase (sGC). It amplifies endogenous nitrous oxide signaling to increase production of the second message cGMP.",ongoing,,AlzForum.Therapeutics,cy6463
dapagliflozin,Dapagliflozin,https://www.alzforum.org/therapeutics/dapagliflozin,,,Small Molecule,Other,Alzheimer's Disease,,Dapagliflozin is a once-daily prescription pill that is FDA-approved to treat Type 2 diabetes and reduce risk of heart failure in people with diabetes. It belongs to the gliflozin class of glucose-lowering agents that includes empagliflozin.,ongoing,,AlzForum.Therapeutics,dapagliflozin
dapsone,Dapsone,https://www.alzforum.org/therapeutics/dapsone,,,Small Molecule,Other,Alzheimer's Disease,"Leprosy, malaria, some bacterial skin infections","Dapsone is a small molecule with anti-inflammatory immunosuppressive properties as well as antibacterial and antibiotic properties. It is used clinically to treat leprosy and malaria, and is being investigated for the treatment of a variety of skin infections.",unknown,,AlzForum.Therapeutics,dapsone
dasatinib-quercetin,Dasatinib + Quercetin,https://www.alzforum.org/therapeutics/dasatinib-quercetin,,,"Combination, Small Molecule, Supplement, Dietary","Tau, Other",Alzheimer's Disease,,"Dasatinib is a cancer drug, sold under the name Sprycel® to treat certain types of leukemia in adults and children. Its side effects include low blood cell counts, anemia, rash, and diarrhea.",ongoing,,AlzForum.Therapeutics,dasatinib-quercetin
davunetide,Davunetide,https://www.alzforum.org/therapeutics/davunetide,,,Other,Tau,"Mild Cognitive Impairment, Progressive Supranuclear Palsy, Schizophrenia, Frontotemporal Dementia, Autism Spectrum Disorder",,"Davunetide is an intranasal neuropeptide therapy derived from a growth factor called activity-dependent neurotrophic protein (ADNP). Released by glial cells, ADNP contains within it a peptide of the eight amino acids Asn-Ala-Pro-Val-Ser-Ile-Pro-Gln.",ongoing,,AlzForum.Therapeutics,davunetide
dayvigo,Dayvigo,https://www.alzforum.org/therapeutics/dayvigo,,,Small Molecule,Other,Alzheimer's Disease,Insomnia,"Dayvigo is the brand name of lemborexant, a brain-penetrant, small-molecule orexin/hypocretin receptor antagonist used to treat insomnia. The neuropeptide orexin regulates wakefulness; inhibiting orexin receptor signaling promotes sleep.",ongoing,,AlzForum.Therapeutics,dayvigo
deep-brain-stimulation-fornix,Deep Brain Stimulation-fornix,https://www.alzforum.org/therapeutics/deep-brain-stimulation-fornix,,,Procedural Intervention,Unknown,Alzheimer's Disease,,"Deep Brain Stimulation (DBS) is an invasive treatment where pairs of electrodes are surgically implanted in the brain, and connected to a pulse generator placed under the skin on the chest. DBS-fornix places electrodes in the fiber tract that connects the hippocampus to other parts of the limbic system, and is intended to modulate or ease dysfunction of memory circuits in the brain.",ongoing,,AlzForum.Therapeutics,deep-brain-stimulation-fornix
deep-brain-stimulation-nucleus-basalis-meynert,Deep Brain Stimulation-nucleus basalis of Meynert,https://www.alzforum.org/therapeutics/deep-brain-stimulation-nucleus-basalis-meynert,,,Procedural Intervention,"Cholinergic System, Other",Alzheimer's Disease,,Deep Brain Stimulation (DBS) is an invasive treatment. Pairs of electrodes are surgically implanted in the brain and connected to a pulse generator placed under the skin on the chest.,ongoing,,AlzForum.Therapeutics,deep-brain-stimulation-nucleus-basalis-meynert
deferiprone,Deferiprone,https://www.alzforum.org/therapeutics/deferiprone,,,Small Molecule,Metals,"Alzheimer's Disease, Parkinson's Disease, Amyotrophic Lateral Sclerosis",Iron overload due to thalassemia syndromes,"Deferiprone is an orally available, brain-penetrant iron chelator that removes iron from the brain and other tissues. It is a second-line treatment for iron overload due to repeated blood transfusions in people with thalassemia who do not respond to or cannot take other chelators.",ongoing,,AlzForum.Therapeutics,deferiprone
dexpramipexole,Dexpramipexole,https://www.alzforum.org/therapeutics/dexpramipexole,,,Small Molecule,"Other Neurotransmitters, Other","Alzheimer's Disease, Amyotrophic Lateral Sclerosis",,"Dexpramipexole is an ( R )-(+) optical enantiomer of pramipexole, a marketed dopamine agonist by Boehringer Ingelheim that is used in many countries around the world for the treatment of Parkinson's disease and restless leg syndrome. R-pramipexole has a lower affinity for dopamine receptors than pramipexole, and thus it can be administered and studied at a wider dose range.",discontinued,,AlzForum.Therapeutics,dexpramipexole
dimebon,Dimebon,https://www.alzforum.org/therapeutics/dimebon,,,Small Molecule,"Other Neurotransmitters, Unknown","Alzheimer's Disease, Huntington's Disease",Anti-histamine use in Russia,Dimebon is an antihistamine that has been used in Russia since the 1980s to treat allergic rhinitis. Dimebon is a pleiotropic drug with activities beyond blocking H1 histamine receptors.,discontinued,,AlzForum.Therapeutics,dimebon
dipraglurant,Dipraglurant,https://www.alzforum.org/therapeutics/dipraglurant,,,Small Molecule,Other Neurotransmitters,Parkinson's Disease,,"This is a negative allosteric modulator of the mGluR5 metabotropic glutamate receptor, taken by mouth. It is being developed for the treatment of levodopa-induced dyskinesia (LID) associated with Parkinson’s disease.",discontinued,,AlzForum.Therapeutics,dipraglurant
dnl151,DNL151,https://www.alzforum.org/therapeutics/dnl151,,,Small Molecule,"Inflammation, Other",Parkinson's Disease,,"DNL151 is an orally available, brain-penetrant inhibitor of the leucine-rich repeat kinase 2 (LRRK2). It started out as a backup to Denali’s lead LRRK2 inhibitor, DNL201 ; but it is now its lead candidate after development of DNL201 was stopped in 2020.",ongoing,,AlzForum.Therapeutics,dnl151
dnl201,DNL201,https://www.alzforum.org/therapeutics/dnl201,,,Small Molecule,"Inflammation, Other",Parkinson's Disease,,"DNL201 is an orally available, brain-penetrant inhibitor of the leucine-rich repeat kinase 2 (LRRK2). It was being developed to treat Parkinson’s disease.",unknown,,AlzForum.Therapeutics,dnl201
dnl343,DNL343,https://www.alzforum.org/therapeutics/dnl343,,,Small Molecule,Other,Amyotrophic Lateral Sclerosis,,DNL343 is a brain-penetrant activator of the eukaryotic initiation factor EIF2b. It inhibits the cell's unfolded protein response in an attempt to restore protein synthesis.,discontinued,,AlzForum.Therapeutics,dnl343
dnl593,DNL593,https://www.alzforum.org/therapeutics/dnl593,,,Other,Other,Frontotemporal Dementia,,"DNL593 is a replacement therapy for frontotemporal dementia caused by granulin gene mutations. In this type of FTD, a deficit of brain progranulin protein interferes with proper lysosomal function, leading to build-up of toxic proteins, neuroinflammation, and neurodegeneration (e.g., Sept 2017 news ).",ongoing,,AlzForum.Therapeutics,dnl593
dnl747,DNL747,https://www.alzforum.org/therapeutics/dnl747,,,Small Molecule,Inflammation,"Alzheimer's Disease, Amyotrophic Lateral Sclerosis",,"DNL747 is a brain-penetrant, small-molecule inhibitor of RIPK1, i.e., receptor-interacting serine/threonine-protein kinase 1. Originally developed in the laboratory of Junying Yuan at Harvard Medical School, the compound was licensed to Denali Therapeutics, which has partnered with Sanofi to develop it for the treatment of AD, ALS, and MS.",unknown,,AlzForum.Therapeutics,dnl747
dnl788,DNL788,https://www.alzforum.org/therapeutics/dnl788,,,Small Molecule,Inflammation,Amyotrophic Lateral Sclerosis,,"This small molecule is a brain-penetrant inhibitor of RIPK1, i.e., receptor-interacting serine/threonine-protein kinase 1. It comes in tablet form, to be taken by mouth.",discontinued,,AlzForum.Therapeutics,dnl788
dnl919,DNL919,https://www.alzforum.org/therapeutics/dnl919,,,Immunotherapy (passive),"Amyloid-Related, Inflammation",Alzheimer's Disease,,This TREM2 agonist antibody activates microglia to phagocytose amyloid. DNL919 contains a transferrin-receptor binding sequence engineered into its Fc domain.,discontinued,,AlzForum.Therapeutics,dnl919
docosahexaenoic-acid-dha,Docosahexaenoic acid (DHA),https://www.alzforum.org/therapeutics/docosahexaenoic-acid-dha,,,"Supplement, Dietary",Other,Alzheimer's Disease,,"Docosahexaenoic acid (DHA) is one of the most abundant polyunsaturated fatty acids in the human brain. Epidemiological research has linked high DHA consumption with a lower risk of Alzheimer's disease (e.g., Morris et al., 2003 , Zhang et al., 2016 ).",ongoing,,AlzForum.Therapeutics,docosahexaenoic-acid-dha
donepezil,Donepezil,https://www.alzforum.org/therapeutics/donepezil,,,Small Molecule,Cholinergic System,"Alzheimer's Disease, Dementia with Lewy Bodies, Down's Syndrome, Parkinson's Disease Dementia","Alzheimer's Disease, Dementia with Lewy Bodies (Japan)","Donepezil is approved in more than 90 countries around the world for the treatment of mild to moderate Alzheimer's disease, and is approved for the treatment of severe AD in the United States, Japan, Canada, and several other countries. The effect size of donepezil's benefit is small, though one patient-level analysis has suggested greater benefit in early responders than in non-responders ( Levine et al., 2022 ).",approved,,AlzForum.Therapeutics,donepezil
dronabinol,Dronabinol,https://www.alzforum.org/therapeutics/dronabinol,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,Anorexia and weight loss in people with AIDS; Second-line treatment of nausea and vomiting due to chemotherapy,"Dronabinol is synthetic delta-9-tetrahydrocannabinol, aka THC, the major psychoactive compound of cannabis. It is an agonist of CB1 and CB2 cannabinoid receptors found in the brain and in peripheral tissues.",ongoing,,AlzForum.Therapeutics,dronabinol
e2511,E2511,https://www.alzforum.org/therapeutics/e2511,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,E2511 is Eisai’s positive allosteric modulator of the tropomyosin receptor kinase A. TrkA activation by nerve growth factor is required for the survival and function of cholinergic neurons.,ongoing,,AlzForum.Therapeutics,e2511
edaravone,Edaravone,https://www.alzforum.org/therapeutics/edaravone,,,Small Molecule,Other,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis,"Edaravone is an antioxidant drug marketed to treat amyotrophic lateral sclerosis. A pyrazolone free-radical scavenger, it reduces oxidative damage, which is believed to contribute to neuron death in ALS.",ongoing,,AlzForum.Therapeutics,edaravone
edicotinib,Edicotinib,https://www.alzforum.org/therapeutics/edicotinib,,,Small Molecule,Inflammation,Alzheimer's Disease,,"JNJ-40346527 is an oral, selective inhibitor of the colony-stimulating factor-1 receptor (CSF-1R) tyrosine kinase (for details, see on MedChemExpress). CSF-1R ligands promote survival, proliferation, and differentiation of macrophages and microglia; they also spur the growth of some cancers.",ongoing,,AlzForum.Therapeutics,edicotinib
edonerpic,Edonerpic,https://www.alzforum.org/therapeutics/edonerpic,,,Small Molecule,"Other, Unknown",Alzheimer's Disease,,"T-817MA is an orally available neurotrophic agent being developed for the treatment of Alzheimer's disease by Toyama Chemical, a company of the Fujifilm Group. T-817MA reportedly activates sigma receptors.",discontinued,,AlzForum.Therapeutics,edonerpic
efavirenz,Efavirenz,https://www.alzforum.org/therapeutics/efavirenz,,,Small Molecule,"Amyloid-Related, Tau, Cholesterol",Alzheimer's Disease,HIV infection,"Efavirenz is an FDA-approved anti-retroviral medication used for human immunodeficiency virus infection. A non-nucleoside reverse transcriptase inhibitor, it is taken in pill form.",ongoing,,AlzForum.Therapeutics,efavirenz
eht-0202,EHT 0202,https://www.alzforum.org/therapeutics/eht-0202,,,Small Molecule,Other,Alzheimer's Disease,,,ongoing,,AlzForum.Therapeutics,eht-0202
elenbecestat,Elenbecestat,https://www.alzforum.org/therapeutics/elenbecestat,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"Elenbecestat is a small-molecule inhibitor of BACE, aka the β-secretase enzyme. It was developed with the rationale of interfering with the amyloid cascade upstream of Aβ peptide generation.",discontinued,,AlzForum.Therapeutics,elenbecestat
elnd005,ELND005,https://www.alzforum.org/therapeutics/elnd005,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"Originally developed by Transition Therapeutics, ELND005 was temporarily taken over by Elan Corporation, Speranza's parent company. In 2014, ELND005 reverted to Transition Therapeutics, which was acquired by Opko Health in 2016.",unknown,,AlzForum.Therapeutics,elnd005
empagliflozin,Empagliflozin,https://www.alzforum.org/therapeutics/empagliflozin,,,Small Molecule,Other,Alzheimer's Disease,"Type 2 Diabetes, Cardiovascular disease",Empagliflozin is a once-daily prescription pill that is FDA-approved to treat Type 2 diabetes and reduce risk of cardiovascular death in adults with the illness ( 2016 FDA press release ). Empagliflozin belongs to the gliflozin class of glucose-lowering agents that includes dapagliflozin.,ongoing,,AlzForum.Therapeutics,empagliflozin
emrusolmin,Emrusolmin,https://www.alzforum.org/therapeutics/emrusolmin,,,Small Molecule,"Tau, alpha-synuclein, Other","Parkinson's Disease, Multiple System Atrophy",,"Anle138b is an oral, brain-penetrant, general inhibitor of protein aggregation. It was identified in a high-throughput screen for small-molecule inhibitors of α-synuclein and prion protein oligomerization.",ongoing,,AlzForum.Therapeutics,emrusolmin
emtricitabine,Emtricitabine,https://www.alzforum.org/therapeutics/emtricitabine,,,"Small Molecule, DNA/RNA-based",Inflammation,Alzheimer's Disease,"HIV infection, Hepatitis B infection","This nucleoside analog reverse transcriptase inhibitor is used for the prevention and treatment of HIV infection. It is taken as capsules or an oral solution, and is always combined with other antiretrovirals.",ongoing,,AlzForum.Therapeutics,emtricitabine
encenicline,Encenicline,https://www.alzforum.org/therapeutics/encenicline,,,Small Molecule,Cholinergic System,"Alzheimer's Disease, Schizophrenia",,"Encenicline hydrochloride is a partial, selective agonist of the α-7 nicotinic acetylcholine receptor (α7-nAChR). It is being developed for the treatment of cognitive deficits in schizophrenia and Alzheimer's disease.",discontinued,,AlzForum.Therapeutics,encenicline
engensis-0,Engensis,https://www.alzforum.org/therapeutics/engensis-0,,,DNA/RNA-based,Other,Amyotrophic Lateral Sclerosis,,This gene therapy involves intramuscular injection of a proprietary DNA plasmid encoding the two natural isoforms of hepatocyte growth factor. HGF is a multifunctional peptide with neurotrophic and angiogenic activity.,ongoing,,AlzForum.Therapeutics,engensis-0
epigallocatechin-gallate-egcg,Epigallocatechin Gallate (EGCG),https://www.alzforum.org/therapeutics/epigallocatechin-gallate-egcg,,,"Supplement, Dietary","Amyloid-Related, Inflammation, Other","Alzheimer's Disease, Down's Syndrome, Multiple System Atrophy",,EGCG is a polyphenolic flavonoid extracted from green tea leaves and widely considered to be the key bioactive ingredient of green tea. It has been reported to have beneficial effects ranging from antitumor and anti-inflammatory to neuroprotective.,ongoing,,AlzForum.Therapeutics,epigallocatechin-gallate-egcg
epothilone-d,Epothilone D,https://www.alzforum.org/therapeutics/epothilone-d,,,Small Molecule,Tau,Alzheimer's Disease,,BMS-241027 is a small-molecule microtubule stabilizer for the treatment of Alzheimer's disease. One of tau's physiological cellular functions is to bind and stabilize microtubules.,discontinued,,AlzForum.Therapeutics,epothilone-d
eptastigmine,Eptastigmine,https://www.alzforum.org/therapeutics/eptastigmine,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,Eptastigmine is a centrally acting cholinesterase inhibitor.,discontinued,,AlzForum.Therapeutics,eptastigmine
estrogen,Estrogen,https://www.alzforum.org/therapeutics/estrogen,,,Other,Other,Alzheimer's Disease,Hormone Replacement Therapy,"There are a number of biological mechanisms through which estrogens might exert neuroprotective effects. These include the promotion of cholinergic activity ( Gibbs, 2010 ), increase in the morphological complexity of neurons associated with learning and memory (Brinton et al., 2000 ), protection from toxic insult ( Brinton et al., 2000 ), stimulation of neuron formation ( Tanapat et al., 1999 ), and reduction of the formation of Aβ ( Pike et al., 2009 ).",discontinued,,AlzForum.Therapeutics,estrogen
etalanetug,Etalanetug,https://www.alzforum.org/therapeutics/etalanetug,,,Immunotherapy (passive),Tau,Alzheimer's Disease,,"This humanized, monoclonal IgG1 antibody recognizes an HVPGG epitope in the microtubule-binding domain near the mid-domain of tau. This region is a predominant component of tau tangles and is involved in seeding and spreading pathological tau aggregates.",ongoing,,AlzForum.Therapeutics,etalanetug
etanercept,Etanercept,https://www.alzforum.org/therapeutics/etanercept,,,Immunotherapy (passive),Inflammation,Alzheimer's Disease,"Rheumatoid Arthritis, Psoriatic Arthritis, Ankylosing Spondilysis",Etanercept inhibits the function of a pro-inflammatory cytokine called tumor necrosis factor alpha (TNF-α). Etanercept is a fusion protein consisting of two copies of the TNF-α receptor and the Fc end of the immunoglobulin G (IgG) antibody.,ongoing,,AlzForum.Therapeutics,etanercept
evp-0962,EVP-0962,https://www.alzforum.org/therapeutics/evp-0962,,,Small Molecule,Amyloid-Related,"Alzheimer's Disease, Mild Cognitive Impairment",,EVP-0962 is a γ-secretase modulator. The rationale behind this approach is that γ-secretase modulators affect the enzyme complex differently than inhibitors: They shift its processive cleavage mechanism away from generating Aβ42 and other long forms of this peptide and toward generation of Aβ38 and other short forms of Aβ.,discontinued,,AlzForum.Therapeutics,evp-0962
exenatide,Exenatide,https://www.alzforum.org/therapeutics/exenatide,,,Small Molecule,Other,"Alzheimer's Disease, Parkinson's Disease",Diabetes mellitus in US,Exenatide is an analog of the hormone glucagon-like peptide-1. GLP-1 stimulates the pancreas to release insulin in response to food intake.,ongoing,,AlzForum.Therapeutics,exenatide
exidavnemab,Exidavnemab,https://www.alzforum.org/therapeutics/exidavnemab,,,Immunotherapy (passive),alpha-synuclein,"Parkinson's Disease, Multiple System Atrophy",,This is a humanized monoclonal antibody targeting α-synuclein originally developed by the Swedish company BioArctic. Genetic and pathology evidence implicate aggregated forms of α-synuclein in the molecular pathogenesis of Parkinson’s disease and other α-synucleinopathies such as dementia with Lewy bodies (DLB).,ongoing,,AlzForum.Therapeutics,exidavnemab
ezeprogind,Ezeprogind,https://www.alzforum.org/therapeutics/ezeprogind,,,Small Molecule,"Tau, Inflammation, Other",Progressive Supranuclear Palsy,,"This small molecule is reported to increase levels of the neurotrophic factor progranulin ( Verwaerde and Defert, 2025 ). According to information from its maker, AZP2006 binds to prosaposin, a cofactor for progranulin processing.",ongoing,,AlzForum.Therapeutics,ezeprogind
flurizan,Flurizan™,https://www.alzforum.org/therapeutics/flurizan,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"Flurizan™ is the R-enantiomer of the nonsteroidal anti-inflammatory flurbiprofen, an NSAID that is structurally and pharmacologically related to ibuprofen and is used to treat several inflammatory conditions. As a selective Aβ42-lowering agent (aka SALA), Flurizan™ would have been the first in its class to treat Alzheimer's disease.",discontinued,,AlzForum.Therapeutics,flurizan
focused-ultrasound-blood-brain-barrier,Focused Ultrasound – Blood-Brain Barrier,https://www.alzforum.org/therapeutics/focused-ultrasound-blood-brain-barrier,,,Procedural Intervention,"Amyloid-Related, Other","Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Mild Cognitive Impairment, Parkinson's Disease",,Focused ultrasound with microbubbles is a noninvasive procedure that transiently opens the blood-brain barrier (BBB) using low-intensity sound waves. The openings reseal within 24 hours.,ongoing,,AlzForum.Therapeutics,focused-ultrasound-blood-brain-barrier
foralumab,Foralumab,https://www.alzforum.org/therapeutics/foralumab,,,Immunotherapy (passive),Inflammation,"Alzheimer's Disease, Amyotrophic Lateral Sclerosis",,"Foralumab is a human monoclonal IgG antibody to the CD3 T cell antigen receptor. It modulates the immune system to promote immunosuppressive and anti-inflammatory responses, in part by stimulating the production of regulatory T cells.",ongoing,,AlzForum.Therapeutics,foralumab
fosgonimeton,Fosgonimeton,https://www.alzforum.org/therapeutics/fosgonimeton,,,Small Molecule,Other,"Alzheimer's Disease, Dementia with Lewy Bodies, Parkinson's Disease Dementia",,"NDX-1017 is a brain-penetrant small molecule that activates signaling via the hepatocyte growth factor (HGF)/MET receptor system ( Moebius and Church, 2023 ). HGF promotes proliferation and survival of neurons, enhances hippocampal synaptic plasticity, and boosts learning and memory ( Akimoto et al., 2004 ; Kato et al., 2012 ).",discontinued,,AlzForum.Therapeutics,fosgonimeton
fosigotifator,Fosigotifator,https://www.alzforum.org/therapeutics/fosigotifator,,,Small Molecule,Other,Amyotrophic Lateral Sclerosis,,"ABBV-CLS-7262 is an activator of the eukaryotic initiation factor EIF2b, which participates in starting up protein synthesis from mRNA. In some neurodegenerative diseases, accumulation of misfolded proteins in the endoplasmic reticulum shuts down protein production by inhibiting EIF2b as part of the so-called unfolded protein response, or integrated stress response (for example, see Stutzbach et al., 2013 ).",discontinued,,AlzForum.Therapeutics,fosigotifator
frm-0334,FRM-0334,https://www.alzforum.org/therapeutics/frm-0334,,,Small Molecule,Other,Frontotemporal Dementia,,FRM-0334 is a histone deacetylase (HDAC) inhibitor. HDACs are key enzymes in the epigenetic regulation of gene function.,discontinued,,AlzForum.Therapeutics,frm-0334
g-csf,G-CSF,https://www.alzforum.org/therapeutics/g-csf,,,Small Molecule,Other,Alzheimer's Disease,Neutropenia in US,,ongoing,,AlzForum.Therapeutics,g-csf
galantamine,Galantamine,https://www.alzforum.org/therapeutics/galantamine,,,Small Molecule,Cholinergic System,Alzheimer's Disease,Mild to Moderate Alzheimer's disease,"Discovered in the 1950s, g alantamine is an alkaloid isolated from Galanthus nivalis , the common snowdrop. Galantamine crosses the blood-brain barrier and has been used in humans for decades in anaesthesia and the treatment of neuropathic pain.",approved,,AlzForum.Therapeutics,galantamine
gammagardr,Gammagard®,https://www.alzforum.org/therapeutics/gammagardr,,,Immunotherapy (passive),"Amyloid-Related, Inflammation",Alzheimer's Disease,Immunodeficiency conditions,Gammagard® is a preparation of pooled human plasma antibodies from blood donations. It has an established safety record from human use in immunodeficiency and certain autoimmune conditions.,discontinued,,AlzForum.Therapeutics,gammagardr
