biomarker_page_id,page_name,source_url,section,comparison,biomarker_key,analyte_label,analyte_core,fluid,analyte_class,version,n_raw,effect_size_raw,p_value_raw,n,effect_size,p_value,meta_text,meta_urls
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,strem2_csf,sTREM2 (CSF),sTREM2,CSF,inflammation,3.0,12,1.314,<0.0001,12.0,1.314,0.0001,"v.1.2 , v.2.0, v.3.0",https://www.alzforum.org/file/31726/download?token=vDpEqENl;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-strem2-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_phospho_csf,tau-phospho (CSF),tau-phospho,CSF,tau,1.x,96,1.882,<0.0001,96.0,1.882,0.0001,"v.1.0 , v.2.0",https://www.alzforum.org/file/25366/download?token=GHWo7kX2
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_phospho_csf,tau-phospho (CSF),tau-phospho,CSF,tau,2.x,116,1.882,<0.0001,116.0,1.882,0.0001,"v.1.0 , v.2.0",https://www.alzforum.org/file/25366/download?token=GHWo7kX2
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_p181_csf,tau-p181 (CSF),tau-p181,CSF,tau,3.0,153,1.867,<0.0001,153.0,1.867,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-p181-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_p181_plasma_serum,tau-p181 (Plasma/Serum),tau-p181,Plasma/Serum,tau,3.0,19,1.799,<0.0001,19.0,1.799,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-p181-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_p217_csf,tau-p217 (CSF),tau-p217,CSF,tau,3.0,2,10.988,<0.0001,2.0,10.988,0.0001,v3..0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-p217-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_p217_plasma_serum,tau-p217 (Plasma/Serum),tau-p217,Plasma/Serum,tau,3.0,2,3.876,0.082,2.0,3.876,0.082,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-p217-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_p231_csf,tau-p231 (CSF),tau-p231,CSF,tau,3.0,5,5.893,<0.0001,5.0,5.893,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-p231-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_total_csf,tau-total (CSF),tau-total,CSF,tau,1.x,164,2.535,<0.0001,164.0,2.535,0.0001,"v.1.0 , v.2,0, v3.0",https://www.alzforum.org/file/25376/download?token=2xOc0RlH;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-total-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_total_csf,tau-total (CSF),tau-total,CSF,tau,2.x,188,2.480,<0.0001,188.0,2.48,0.0001,"v.1.0 , v.2,0, v3.0",https://www.alzforum.org/file/25376/download?token=2xOc0RlH;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-total-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_total_csf,tau-total (CSF),tau-total,CSF,tau,3.0,238,2.477,<0.0001,238.0,2.477,0.0001,"v.1.0 , v.2,0, v3.0",https://www.alzforum.org/file/25376/download?token=2xOc0RlH;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-total-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_total_plasma_serum,tau-total (Plasma/Serum),tau-total,Plasma/Serum,tau,1.x,6,1.948,0.018,6.0,1.948,0.018,"v1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25356/download?token=CqYP2_rn;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-total-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_total_plasma_serum,tau-total (Plasma/Serum),tau-total,Plasma/Serum,tau,2.x,8,1.788,0.006,8.0,1.788,0.006,"v1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25356/download?token=CqYP2_rn;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-total-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,tau_total_plasma_serum,tau-total (Plasma/Serum),tau-total,Plasma/Serum,tau,3.0,37,1.398,<0.0001,37.0,1.398,0.0001,"v1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25356/download?token=CqYP2_rn;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-tau-total-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,vlp_1_csf,VLP-1 (CSF),VLP-1,CSF,other,1.x,4,1.457,<0.0001,4.0,1.457,0.0001,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25386/download?token=dFtwK7oH;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-vlp-1-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,vlp_1_csf,VLP-1 (CSF),VLP-1,CSF,other,2.x,8,1.355,<0.0001,8.0,1.355,0.0001,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25386/download?token=dFtwK7oH;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-vlp-1-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,vlp_1_csf,VLP-1 (CSF),VLP-1,CSF,other,3.0,7,1.546,<0.0001,7.0,1.546,0.0001,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25386/download?token=dFtwK7oH;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-vlp-1-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,ykl_40_csf,YKL-40 (CSF),YKL-40,CSF,inflammation,1.x,6,1.285,<0.0001,6.0,1.285,0.0001,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25396/download?token=6Hqu02ur;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-ykl-40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,ykl_40_csf,YKL-40 (CSF),YKL-40,CSF,inflammation,2.x,14,1.291,<0.0001,14.0,1.291,0.0001,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25396/download?token=6Hqu02ur;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-ykl-40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,ykl_40_csf,YKL-40 (CSF),YKL-40,CSF,inflammation,3.0,34,1.362,<0.0001,34.0,1.362,0.0001,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25396/download?token=6Hqu02ur;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-ykl-40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,ykl_40_plasma,YKL-40 (Plasma),YKL-40,Plasma,inflammation,1.x,3,1.950,0.053,3.0,1.95,0.053,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25416/download?token=0OVD2Ck8;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-ykl-40-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,ykl_40_plasma,YKL-40 (Plasma),YKL-40,Plasma,inflammation,2.x,3,1.950,0.053,3.0,1.95,0.053,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25416/download?token=0OVD2Ck8;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-ykl-40-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,ykl_40_plasma,YKL-40 (Plasma),YKL-40,Plasma,inflammation,3.0,5,2.205,0.017,5.0,2.205,0.017,"v.1.0 , v.2.0, v3.0",https://www.alzforum.org/file/25416/download?token=0OVD2Ck8;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-ykl-40-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,synuclein_csf,α-synuclein (CSF),α-synuclein,CSF,other,2.x,13,1.169,0.009,13.0,1.169,0.009,"v.2.1, v3.0",https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-synuclein-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,synuclein_csf,α-synuclein (CSF),α-synuclein,CSF,other,3.0,24,1.183,0.0004,24.0,1.183,0.0004,"v.2.1, v3.0",https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-synuclein-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,synuclein_plasma_serum,α-synuclein (Plasma/Serum),α-synuclein,Plasma/Serum,other,3.0,3,0.909,0.326,3.0,0.909,0.326,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-synuclein-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,albumin_ratio,albumin ratio,albumin ratio,,other,3.0,2,1.056,0.343,2.0,1.056,0.343,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-albumin-ratio-csfblood
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta38_csf,Aβ38 (CSF),Aβ38,CSF,amyloid,2.x,2,1.127,0.010,2.0,1.127,0.01,"v.2.0, v.3.0",https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av38-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta38_csf,Aβ38 (CSF),Aβ38,CSF,amyloid,3.0,2,1.127,0.010,2.0,1.127,0.01,"v.2.0, v.3.0",https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av38-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta40_csf,Aβ40 (CSF),Aβ40,CSF,amyloid,1.x,3,0.984,0.715,3.0,0.984,0.715,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25436/download?token=JA-zFfFw;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta40_csf,Aβ40 (CSF),Aβ40,CSF,amyloid,2.x,4,1.010,0.819,4.0,1.01,0.819,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25436/download?token=JA-zFfFw;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta40_csf,Aβ40 (CSF),Aβ40,CSF,amyloid,3.0,8,1.000,0.986,8.0,1.0,0.986,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25436/download?token=JA-zFfFw;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta40_plasma_serum,Aβ40 (Plasma/Serum),Aβ40,Plasma/Serum,amyloid,1.x,3,1.066,<0.0001,3.0,1.066,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25491/download?token=qjKP4y_G;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av40-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta40_plasma_serum,Aβ40 (Plasma/Serum),Aβ40,Plasma/Serum,amyloid,2.x,3,1.066,0.0002,3.0,1.066,0.0002,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25491/download?token=qjKP4y_G;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av40-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta40_plasma_serum,Aβ40 (Plasma/Serum),Aβ40,Plasma/Serum,amyloid,3.0,5,1.018,0.617,5.0,1.018,0.617,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25491/download?token=qjKP4y_G;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av40-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta42_csf,Aβ42 (CSF),Aβ42,CSF,amyloid,1.x,12,0.674,<0.0001,12.0,0.674,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25511/download?token=Qjw5iPsJ;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av42-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta42_csf,Aβ42 (CSF),Aβ42,CSF,amyloid,2.x,19,0.663,<0.0001,19.0,0.663,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25511/download?token=Qjw5iPsJ;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av42-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta42_csf,Aβ42 (CSF),Aβ42,CSF,amyloid,3.0,28,0.672,<0.0001,28.0,0.672,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25511/download?token=Qjw5iPsJ;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av42-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta42_plasma,Aβ42 (Plasma),Aβ42,Plasma,amyloid,1.x,3,0.807,0.324,3.0,0.807,0.324,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25531/download?token=-L9Xrp_2;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av42-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta42_plasma,Aβ42 (Plasma),Aβ42,Plasma,amyloid,2.x,3,0.807,0.324,3.0,0.807,0.324,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25531/download?token=-L9Xrp_2;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av42-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,abeta42_plasma,Aβ42 (Plasma),Aβ42,Plasma,amyloid,3.0,5,0.952,0.785,5.0,0.952,0.785,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25531/download?token=-L9Xrp_2;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-av42-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,neurogranin_csf,neurogranin (CSF),neurogranin,CSF,other,1.x,4,1.542,0.003,4.0,1.542,0.003,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30606/download?token=P2uR8xXX;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-neurogranin-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,neurogranin_csf,neurogranin (CSF),neurogranin,CSF,other,2.x,4,1.542,0.003,4.0,1.542,0.003,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30606/download?token=P2uR8xXX;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-neurogranin-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,neurogranin_csf,neurogranin (CSF),neurogranin,CSF,other,3.0,4,1.542,0.003,4.0,1.542,0.003,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30606/download?token=P2uR8xXX;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-neurogranin-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,sapp_csf,sAPPα (CSF),sAPPα,CSF,other,1.x,3,1.091,0.195,3.0,1.091,0.195,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25581/download?token=xAupF9Uy;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-sappa-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,sapp_csf,sAPPα (CSF),sAPPα,CSF,other,2.x,3,1.091,0.195,3.0,1.091,0.195,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25581/download?token=xAupF9Uy;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-sappa-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,sapp_csf,sAPPα (CSF),sAPPα,CSF,other,3.0,3,1.091,0.195,3.0,1.091,0.195,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25581/download?token=xAupF9Uy;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-sappa-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,sappbeta_csf,sAPPβ (CSF),sAPPβ,CSF,other,1.x,3,1.055,0.586,3.0,1.055,0.586,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25551/download?token=C78f8V3v;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-sappv-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,sappbeta_csf,sAPPβ (CSF),sAPPβ,CSF,other,2.x,3,1.055,0.586,3.0,1.055,0.586,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25551/download?token=C78f8V3v;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-sappv-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,sappbeta_csf,sAPPβ (CSF),sAPPβ,CSF,other,3.0,3,1.055,0.586,3.0,1.055,0.586,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25551/download?token=C78f8V3v;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-sappv-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,tau_phospho_csf,tau-phospho (CSF),tau-phospho,CSF,tau,1.x,9,1.719,<0.0001,9.0,1.719,0.0001,"v.1.0 , v.2.0",https://www.alzforum.org/file/25601/download?token=u2etJMHB
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,tau_phospho_csf,tau-phospho (CSF),tau-phospho,CSF,tau,2.x,13,1.677,<0.0001,13.0,1.677,0.0001,"v.1.0 , v.2.0",https://www.alzforum.org/file/25601/download?token=u2etJMHB
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,tau_p181_csf,tau-p181 (CSF),tau-p181,CSF,tau,3.0,22,1.566,<0.0001,22.0,1.566,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-tau-p181-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,tau_total_csf,tau-total (CSF),tau-total,CSF,tau,1.x,12,1.758,<0.0001,12.0,1.758,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25621/download?token=P6hrBaxP;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-tau-total-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,tau_total_csf,tau-total (CSF),tau-total,CSF,tau,2.x,19,1.730,<0.0001,19.0,1.73,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25621/download?token=P6hrBaxP;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-tau-total-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,tau_total_csf,tau-total (CSF),tau-total,CSF,tau,3.0,28,1.754,<0.0001,28.0,1.754,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25621/download?token=P6hrBaxP;https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-tau-total-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,tau_total_plasma_serum,tau-total (Plasma/Serum),tau-total,Plasma/Serum,tau,3.0,3,1.364,0.016,3.0,1.364,0.016,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-tau-total-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,vlp_1_csf,VLP-1 (CSF),VLP-1,CSF,other,3.0,2,1.397,0.020,2.0,1.397,0.02,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-vlp-1-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,ykl_40_csf,YKL-40 (CSF),YKL-40,CSF,inflammation,2.x,3,1.271,<0.0001,3.0,1.271,0.0001,"v.2.0, v.3.0",https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-ykl-40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,ykl_40_csf,YKL-40 (CSF),YKL-40,CSF,inflammation,3.0,5,1.125,0.080,5.0,1.125,0.08,"v.2.0, v.3.0",https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-ykl-40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,MCI-AD vs MCI-Stable,synuclein_csf,α-synuclein (CSF),α-synuclein,CSF,other,3.0,3,1.340,0.058,3.0,1.34,0.058,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/mci-ad-vs-mci-stable-synuclein-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,cross_diseases,ALS vs AD,abeta42_csf,Aβ42 (CSF),Aβ42,CSF,amyloid,3.0,4,1.665,0.0001,4.0,1.665,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/amyotrophic-lateral-sclerosis-vs-alzheimers-disease-av42-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,cross_diseases,ALS vs AD,nfl_csf,NFL (CSF),NFL,CSF,neurodegeneration,3.0,2,4.503,<0.0001,2.0,4.503,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/amyotrophic-lateral-sclerosis-vs-alzheimers-disease-nfl-csf
